(29, 75, 40, 60, 78) <-> (32, 86, 43, 50, 69)
(83, 43, 73, 28, 87) <-> (86, 31, 70, 43, 90)
(16, 16, 14, 10, 31) <-> (24, 13, 30, 6, 39)
(88, 70, 56, 12, 23) <-> (99, 75, 60, 25, 37)
(56, 35, 64, 32, 49) <-> (59, 47, 50, 38, 35)
(23, 77, 93, 82, 81) <-> (40, 76, 94, 97, 94)
(27, 41, 78, 13, 74) <-> (36, 52, 74, 16, 52)
(60, 28, 76, 38, 94) <-> (84, 37, 71, 35, 88)
(31, 46, 76, 14, 63) <-> (54, 41, 65, 14, 74)
(24, 41, 80, 100, 36) <-> (27, 31, 87, 87, 14)
(57, 41, 57, 35, 42) <-> (69, 21, 60, 19, 33)
(91, 19, 77, 94, 57) <-> (91, 23, 47, 93, 62)
(18, 64, 68, 35, 51) <-> (31, 60, 56, 54, 35)
(29, 52, 15, 5, 69) <-> (38, 40, 22, 1, 95)
(72, 32, 73, 36, 91) <-> (77, 53, 86, 18, 97)
(22, 99, 31, 67, 92) <-> (30, 80, 41, 55, 73)
(30, 4, 22, 44, 77) <-> (42, 25, 27, 34, 96)
(26, 89, 36, 61, 82) <-> (57, 94, 46, 62, 84)
(7, 91, 91, 27, 33) <-> (27, 87, 89, 6, 16)
(61, 84, 17, 26, 44) <-> (63, 83, 29, 7, 18)
(18, 34, 91, 24, 40) <-> (27, 9, 67, 20, 40)
(13, 17, 47, 63, 23) <-> (19, 25, 26, 71, 51)
(25, 36, 83, 93, 25) <-> (27, 44, 99, 63, 12)
(20, 32, 57, 91, 94) <-> (41, 3, 47, 87, 94)
(33, 46, 18, 3, 82) <-> (34, 73, 44, 7, 79)
(4, 26, 36, 28, 98) <-> (17, 39, 37, 60, 88)
(10, 32, 36, 44, 93) <-> (36, 14, 24, 39, 86)
(62, 99, 76, 34, 49) <-> (90, 92, 68, 49, 68)
(17, 89, 90, 16, 24) <-> (48, 83, 80, 34, 16)
(72, 77, 60, 79, 3) <-> (73, 83, 73, 90, 39)
(91, 21, 62, 93, 59) <-> (97, 22, 90, 88, 29)
(58, 25, 80, 62, 32) <-> (63, 31, 58, 27, 37)
(22, 21, 79, 22, 40) <-> (42, 43, 70, 14, 68)
(32, 32, 74, 18, 54) <-> (60, 28, 69, 44, 34)
(24, 62, 62, 44, 43) <-> (46, 30, 71, 31, 44)
(16, 21, 36, 67, 37) <-> (53, 12, 20, 61, 21)
(62, 83, 23, 16, 31) <-> (93, 72, 58, 18, 30)
(74, 42, 79, 27, 94) <-> (94, 2, 92, 14, 90)
(74, 40, 9, 19, 89) <-> (93, 19, 20, 14, 51)
(26, 40, 91, 78, 18) <-> (27, 80, 66, 72, 1)
(32, 86, 85, 25, 20) <-> (35, 46, 66, 37, 43)
(26, 60, 78, 75, 9) <-> (33, 66, 75, 31, 31)
(76, 95, 72, 41, 58) <-> (77, 77, 40, 17, 30)
(23, 23, 30, 41, 89) <-> (33, 59, 31, 5, 80)
(3, 44, 4, 78, 6) <-> (34, 16, 28, 64, 29)
(83, 29, 14, 16, 70) <-> (83, 39, 2, 67, 53)
(29, 63, 76, 53, 20) <-> (72, 80, 66, 84, 21)
(50, 71, 71, 68, 20) <-> (76, 86, 56, 29, 44)
(20, 14, 22, 8, 35) <-> (28, 41, 30, 23, 84)
(31, 76, 93, 89, 87) <-> (41, 91, 41, 61, 83)
(63, 78, 63, 48, 32) <-> (89, 96, 18, 82, 41)
(24, 27, 26, 15, 59) <-> (83, 34, 8, 41, 61)
(36, 83, 67, 75, 85) <-> (76, 87, 40, 65, 36)
(18, 30, 16, 71, 17) <-> (53, 30, 17, 28, 60)
(35, 30, 16, 49, 38) <-> (56, 85, 53, 70, 60)
(30, 17, 52, 89, 94) <-> (45, 57, 34, 59, 49)
(37, 37, 43, 74, 71) <-> (94, 21, 76, 90, 44)
(65, 29, 59, 82, 57) <-> (84, 22, 85, 20, 92)
(12, 96, 42, 8, 28) <-> (74, 25, 72, 51, 74)
