(25, 45, 21, 32, 85) <-> (25, 61, 26, 30, 75)
(64, 37, 78, 98, 63) <-> (69, 46, 56, 95, 53)
(60, 76, 20, 37, 48) <-> (74, 68, 10, 26, 17)
(40, 88, 53, 33, 76) <-> (57, 84, 78, 54, 66)
(66, 43, 14, 64, 81) <-> (82, 26, 29, 44, 58)
(67, 72, 15, 31, 32) <-> (86, 86, 25, 17, 70)
(4, 76, 53, 11, 69) <-> (25, 53, 23, 31, 80)
(48, 86, 65, 43, 71) <-> (49, 75, 84, 11, 40)
(50, 5, 3, 73, 19) <-> (68, 8, 51, 79, 21)
(48, 80, 74, 27, 55) <-> (62, 85, 62, 37, 5)
(51, 73, 13, 82, 37) <-> (95, 86, 33, 82, 63)
(73, 79, 23, 82, 50) <-> (74, 34, 21, 54, 69)
(73, 56, 22, 68, 59) <-> (76, 79, 20, 24, 51)
(55, 82, 68, 32, 30) <-> (74, 67, 21, 46, 55)
(14, 64, 38, 21, 74) <-> (64, 74, 44, 39, 42)
(59, 6, 27, 76, 20) <-> (66, 41, 67, 96, 58)
(39, 69, 41, 30, 58) <-> (62, 23, 47, 86, 39)
(22, 40, 12, 86, 95) <-> (50, 46, 44, 58, 48)
(36, 43, 28, 72, 71) <-> (87, 34, 89, 1, 21)
