(39, 49, 66, 10, 94) <-> (43, 50, 59, 13, 97)
(55, 53, 33, 95, 77) <-> (55, 57, 45, 95, 72)
(17, 79, 29, 55, 65) <-> (27, 87, 27, 53, 70)
(9, 41, 79, 30, 76) <-> (19, 54, 81, 16, 77)
(9, 79, 54, 57, 25) <-> (23, 84, 59, 39, 25)
(91, 26, 67, 47, 75) <-> (98, 5, 65, 50, 89)
(41, 90, 75, 82, 69) <-> (62, 88, 72, 96, 77)
(17, 87, 8, 93, 33) <-> (29, 88, 6, 88, 7)
(20, 18, 93, 48, 50) <-> (41, 26, 81, 63, 52)
(50, 59, 64, 85, 57) <-> (55, 55, 39, 95, 74)
(18, 29, 37, 77, 77) <-> (42, 23, 30, 100, 75)
(69, 5, 15, 4, 80) <-> (70, 30, 3, 12, 60)
(15, 7, 58, 97, 71) <-> (30, 26, 33, 88, 76)
(5, 98, 81, 51, 42) <-> (16, 81, 56, 48, 25)
(8, 50, 91, 66, 40) <-> (16, 34, 83, 88, 65)
(12, 42, 87, 77, 52) <-> (30, 22, 87, 55, 51)
(14, 47, 80, 23, 76) <-> (41, 49, 62, 11, 95)
(51, 89, 73, 89, 73) <-> (52, 57, 51, 90, 65)
(28, 90, 40, 92, 60) <-> (51, 73, 62, 89, 69)
(94, 15, 66, 48, 82) <-> (99, 6, 77, 20, 54)
(69, 17, 9, 8, 70) <-> (94, 16, 19, 19, 39)
(22, 83, 28, 54, 67) <-> (39, 81, 51, 90, 64)
(74, 50, 35, 45, 38) <-> (91, 77, 26, 46, 72)
(22, 16, 45, 92, 73) <-> (41, 25, 37, 97, 29)
(10, 89, 68, 49, 33) <-> (34, 54, 80, 25, 25)
(22, 73, 30, 5, 97) <-> (27, 48, 71, 17, 85)
(21, 32, 87, 66, 51) <-> (22, 71, 74, 37, 29)
(21, 51, 80, 51, 40) <-> (34, 76, 71, 94, 14)
(27, 63, 75, 72, 27) <-> (30, 82, 39, 72, 65)
(28, 72, 57, 72, 46) <-> (31, 20, 41, 94, 51)
(81, 16, 14, 13, 54) <-> (82, 63, 30, 45, 55)
(31, 29, 3, 41, 64) <-> (81, 39, 22, 29, 54)
(23, 87, 7, 90, 20) <-> (29, 46, 49, 83, 48)
(27, 14, 2, 5, 13) <-> (56, 34, 12, 35, 59)
(26, 66, 28, 86, 34) <-> (83, 38, 13, 84, 9)
(41, 24, 7, 20, 36) <-> (54, 52, 20, 85, 21)
(24, 60, 50, 11, 91) <-> (47, 38, 13, 52, 28)
(35, 49, 31, 31, 59) <-> (96, 10, 71, 34, 68)
(65, 29, 51, 32, 63) <-> (65, 88, 5, 98, 99)
