(15, 7, 58, 97, 71)
(18, 29, 37, 77, 77)
(23, 84, 59, 39, 25)
(22, 73, 30, 5, 97)
(17, 79, 29, 55, 65)
(69, 5, 15, 4, 80)
(41, 26, 81, 63, 52)
(91, 77, 26, 46, 72)
(98, 5, 65, 50, 89)
(34, 54, 80, 25, 25)
(50, 59, 64, 85, 57)
(70, 30, 3, 12, 60)
(65, 88, 5, 98, 99)
(8, 50, 91, 66, 40)
(41, 25, 37, 97, 29)
(31, 29, 3, 41, 64)
(34, 76, 71, 94, 14)
(83, 38, 13, 84, 9)
(27, 87, 27, 53, 70)
(74, 50, 35, 45, 38)
(19, 54, 81, 16, 77)
(17, 87, 8, 93, 33)
(42, 23, 30, 100, 75)
(29, 88, 6, 88, 7)
(27, 14, 2, 5, 13)
(9, 41, 79, 30, 76)
(39, 49, 66, 10, 94)
(91, 26, 67, 47, 75)
(43, 50, 59, 13, 97)
(99, 6, 77, 20, 54)
(94, 16, 19, 19, 39)
(5, 98, 81, 51, 42)
(62, 88, 72, 96, 77)
(9, 79, 54, 57, 25)
(41, 90, 75, 82, 69)
(28, 90, 40, 92, 60)
(55, 53, 33, 95, 77)
(16, 34, 83, 88, 65)
(55, 57, 45, 95, 72)
(20, 18, 93, 48, 50)
(39, 49, 66, 10, 94) <-> (43, 50, 59, 13, 97)
